Date,  originally from NOAA/GML  missing value -99 https://psl.noaa.gov/data/timeseries/month/
1979-01-01,  336.560
1979-02-01,  337.290
1979-03-01,  337.880
1979-04-01,  338.320
1979-05-01,  338.260
1979-06-01,  337.380
1979-07-01,  335.560
1979-08-01,  334.360
1979-09-01,  335.020
1979-10-01,  336.360
1979-11-01,  337.360
1979-12-01,  337.850
1980-01-01,  338.550
1980-02-01,  339.260
1980-03-01,  339.590
1980-04-01,  339.990
1980-05-01,  340.440
1980-06-01,  339.990
1980-07-01,  338.440
1980-08-01,  337.210
1980-09-01,  337.050
1980-10-01,  337.830
1980-11-01,  338.930
1980-12-01,  339.640
1981-01-01,  340.180
1981-02-01,  340.750
1981-03-01,  341.380
1981-04-01,  341.680
1981-05-01,  341.430
1981-06-01,  340.630
1981-07-01,  339.220
1981-08-01,  338.080
1981-09-01,  337.980
1981-10-01,  339.070
1981-11-01,  340.180
1981-12-01,  340.750
1982-01-01,  341.370
1982-02-01,  341.950
1982-03-01,  342.230
1982-04-01,  342.520
1982-05-01,  342.360
1982-06-01,  341.490
1982-07-01,  339.750
1982-08-01,  338.110
1982-09-01,  338.160
1982-10-01,  339.620
1982-11-01,  340.950
1982-12-01,  341.770
1983-01-01,  342.370
1983-02-01,  342.740
1983-03-01,  343.040
1983-04-01,  343.510
1983-05-01,  343.840
1983-06-01,  343.500
1983-07-01,  342.140
1983-08-01,  340.620
1983-09-01,  340.530
1983-10-01,  341.750
1983-11-01,  342.830
1983-12-01,  343.490
1984-01-01,  344.320
1984-02-01,  344.820
1984-03-01,  344.960
1984-04-01,  345.190
1984-05-01,  345.330
1984-06-01,  344.570
1984-07-01,  343.200
1984-08-01,  342.210
1984-09-01,  342.130
1984-10-01,  342.990
1984-11-01,  344.160
1984-12-01,  345.000
1985-01-01,  345.350
1985-02-01,  345.800
1985-03-01,  346.640
1985-04-01,  346.940
1985-05-01,  346.780
1985-06-01,  346.260
1985-07-01,  344.920
1985-08-01,  343.410
1985-09-01,  343.370
1985-10-01,  344.640
1985-11-01,  345.790
1985-12-01,  346.550
1986-01-01,  347.110
1986-02-01,  347.340
1986-03-01,  347.710
1986-04-01,  348.220
1986-05-01,  348.320
1986-06-01,  347.760
1986-07-01,  346.290
1986-08-01,  344.920
1986-09-01,  344.860
1986-10-01,  346.030
1986-11-01,  347.300
1986-12-01,  347.760
1987-01-01,  348.020
1987-02-01,  348.570
1987-03-01,  349.290
1987-04-01,  349.980
1987-05-01,  350.260
1987-06-01,  349.480
1987-07-01,  347.860
1987-08-01,  346.610
1987-09-01,  346.700
1987-10-01,  347.970
1987-11-01,  349.250
1987-12-01,  350.210
1988-01-01,  350.910
1988-02-01,  351.470
1988-03-01,  351.850
1988-04-01,  352.300
1988-05-01,  352.460
1988-06-01,  351.760
1988-07-01,  350.280
1988-08-01,  349.100
1988-09-01,  349.270
1988-10-01,  350.440
1988-11-01,  351.610
1988-12-01,  352.460
1989-01-01,  352.990
1989-02-01,  353.460
1989-03-01,  354.000
1989-04-01,  354.380
1989-05-01,  354.190
1989-06-01,  353.260
1989-07-01,  351.560
1989-08-01,  350.210
1989-09-01,  350.560
1989-10-01,  351.850
1989-11-01,  353.040
1989-12-01,  353.910
1990-01-01,  354.460
1990-02-01,  354.870
1990-03-01,  355.200
1990-04-01,  355.500
1990-05-01,  355.400
1990-06-01,  354.330
1990-07-01,  352.710
1990-08-01,  351.590
1990-09-01,  351.800
1990-10-01,  353.190
1990-11-01,  354.430
1990-12-01,  355.180
1991-01-01,  355.760
1991-02-01,  356.190
1991-03-01,  356.680
1991-04-01,  357.190
1991-05-01,  357.110
1991-06-01,  356.170
1991-07-01,  354.530
1991-08-01,  353.050
1991-09-01,  352.930
1991-10-01,  354.000
1991-11-01,  355.160
1991-12-01,  355.950
1992-01-01,  356.520
1992-02-01,  356.890
1992-03-01,  357.260
1992-04-01,  357.750
1992-05-01,  357.820
1992-06-01,  356.870
1992-07-01,  355.190
1992-08-01,  353.680
1992-09-01,  353.580
1992-10-01,  354.800
1992-11-01,  355.980
1992-12-01,  356.740
1993-01-01,  357.210
1993-02-01,  357.550
1993-03-01,  357.960
1993-04-01,  358.430
1993-05-01,  358.380
1993-06-01,  357.340
1993-07-01,  355.720
1993-08-01,  354.440
